review_id,date,source,app_name,country,rating,text,version,reply_content,reply_date,longueur
0d127462-dd87-47f8-ae35-e42dabb24b8b,2025-12-31 21:01:13+00:00,Google Play,Tinder,fr,1,"fonctionne pas, aucun match, filles méchantes",16.35.0,,,1
2ecf4b1f-9288-40c5-aa96-631c8e2c39ec,2025-12-31 20:46:35+00:00,Google Play,Hinge,fr,4,sérieux,9.103.1,,,0
1765370a-4f88-49ec-868c-a0993227e354,2025-12-31 18:11:32+00:00,Google Play,Tinder,fr,2,"aucun match, aucune réponse, à se demander si il y a des vrai profils",16.35.0,,,1
f770f8c2-f7f8-46c5-b684-8edb50b75aaf,2025-12-31 18:08:56+00:00,Google Play,Bumble,fr,1,"Application défaillante, faux profils et service client incompétent ! À fuir...",5.448.0,,,1
fa96221b-dd40-47a8-b682-3d72a5bb1d30,2025-12-31 17:59:57+00:00,Google Play,Tinder,fr,1,impossible de valider un payement via une application bancaire,16.35.0,,,1
ab86d90d-b9ab-414e-a524-c1710a0787c2,2025-12-31 14:56:30+00:00,Google Play,Tinder,fr,5,شكرا لخدمتكم,,,,0
13577409237,2025-12-31 14:56:14+00:00,Apple Store,Tinder,fr,1,"95% des profils proposés sont à des centaines de kilomètres voir à l’étranger alors que la distance et soit disant proche.
Evidemment que des top model, ça sent le faux profile a plein nez. La concurrence est bien meilleure est de loin.",16.35.3,,,1
fd8a9f62-8fe2-4ffa-b975-39edf6de3df2,2025-12-31 12:33:40+00:00,Google Play,Tinder,fr,1,"de pire en pire, aucun support technique ni aide, j ai eu un souci avec la restauration de mon abonnement ( 1semaine a 13,99€) ce qui fait que je ne pouvais plus consulter mes likes, prélèvement effectué biensur hein et malgré de multiples messages envoyés aucune réponse en retour ni même de résolu du problème, trop bien... une vraie arnaque cette appli",16.35.0,,,1
36db3d44-5caf-4e10-a528-c7422e2d2465,2025-12-31 12:07:26+00:00,Google Play,Tinder,fr,1,"Plein de faux profil, Appli parfait pour 5 à 8 % de la population , pour le reste aller voir ailleur et évité de perdre votre temps pour rien 😕....il y as d autre moyen, 😊..... Tout est fait pour rester celib sur cet app que ce soit en payant un abonnement ou non.Dommage",16.35.0,,,1
a7887590-9b12-4dc7-a303-9894d95452c4,2025-12-31 10:50:46+00:00,Google Play,Hinge,fr,1,aucune activité sur cette appli,9.103.1,,,1
d222ffba-f410-4590-8b7b-1083f56a5064,2025-12-31 10:47:09+00:00,Google Play,Hinge,fr,2,"J'ai 35 ans. sur mon profil, j'ai réglé la limite d'âge inférieure a 27 ou 28 ans, et j'ai des profils de 19 ans qui me sont quand même suggéré...",,,,1
e26dee80-1e13-4e5d-8529-1d23fda0d28b,2025-12-31 10:21:23+00:00,Google Play,Tinder,fr,5,superbe l'application,16.35.0,,,0
1c225d14-34b7-483d-a274-d0d33edf1080,2025-12-31 08:49:14+00:00,Google Play,Tinder,fr,5,j'espère bien vous rencontrer pour discuter,,,,1
8e5ea94d-50fa-4f39-96a2-70f309c60e62,2025-12-31 08:47:23+00:00,Google Play,Bumble,fr,5,j'ai eu un plaisir fou,,,,1
9227ed39-4734-447f-b015-e026a0fb1a3a,2025-12-31 01:42:03+00:00,Google Play,Hinge,fr,5,changement d'expérience enfin,9.103.1,,,0
8b2f5e87-4d46-4916-acaa-ca40e7076fc0,2025-12-30 23:11:59+00:00,Google Play,Tinder,fr,1,"l'application s'est faîte piratée de l'intérieur, car l'âge demandé a bougé. de plus il gardent vos données 90 jours ! il fallait s'en douter vu le niveau mental de cette boîte !! Les nanas vous ignore après avoir matché , et elle se croient intelligente !! Allez chez Meetic",16.30.0,,,1
92b6517f-bacf-4509-92b8-b24ab52316e1,2025-12-30 23:10:52+00:00,Google Play,Tinder,fr,4,Super cool,16.35.0,,,0
